site_code,timestamp_local,nh4_uM,no3_uM,po4_uM,tdn_uM,tdp_uM,tpc_uM,tpn_uM,tpp_uM,tss_mgperLiter,spec_cond_uSpercm
EL00,2000-10-23T00:00,0.0,0.0,-999.0,14.4,0.4,-999.0,-999.0,-999.0,-999.0,-999
SR06,2000-10-23T00:00,0.0,57.3,-999.0,66.3,0.4,-999.0,-999.0,-999.0,-999.0,-999
RG01,2000-10-23T00:00,0.6,112.0,-999.0,137.7,0.7,-999.0,-999.0,-999.0,-999.0,-999
AB00,2000-10-23T00:00,0.3,92.4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999
AT03,2000-10-23T00:00,0.0,10.4,-999.0,65.9,7.8,-999.0,-999.0,-999.0,-999.0,-999
RG01,2000-10-26T00:00,0.0,241.5,-999.0,300.3,1.5,-999.0,-999.0,-999.0,-999.0,-999
SM00,2000-10-26T00:00,3.3,56.2,-999.0,136.8,10.5,-999.0,-999.0,-999.0,-999.0,-999
CP01,2000-10-26T00:00,10.7,475.7,1.4,663.2,8.6,-999.0,-999.0,-999.0,-999.0,-999
FK00,2000-10-26T00:00,27.1,1037.1,80.3,1084.2,82.2,-999.0,-999.0,-999.0,-999.0,-999
AB00,2000-10-26T00:00,11.9,66.2,-999.0,103.6,1.7,-999.0,-999.0,-999.0,-999.0,-999
RN01,2000-10-26T00:00,0.7,186.1,3.2,227.9,3.1,337.6,29.1,-999.0,-999.0,-999
LS00,2000-10-26T00:00,0.0,152.6,2.5,209.6,2.5,255.0,15.1,-999.0,-999.0,-999
SM00,2000-10-26T00:00,0.0,525.7,53.5,571.1,54.3,-999.0,-999.0,-999.0,-999.0,-999
CP01,2000-10-26T00:00,33.3,859.9,37.9,943.6,41.8,553.1,43.8,-999.0,-999.0,-999
ME00,2000-10-26T00:00,0.0,63.1,9.2,109.6,11.3,-999.0,-999.0,-999.0,-999.0,-999
AB00,2000-10-26T00:00,2.1,56.6,19.6,127.9,26.2,-999.0,-999.0,-999.0,-999.0,-999
AT03,2000-10-26T00:00,1.1,395.6,43.2,494.2,43.7,279.6,29.4,-999.0,-999.0,-999
FK00,2000-10-26T00:00,12.2,1106.9,106.9,132.1,97.9,1384.3,118.1,-999.0,-999.0,-999
JV00,2000-10-26T00:00,1.6,28.3,3.0,163.9,4.5,1778.2,182.8,-999.0,-999.0,-999
MC06,2000-11-04T00:00,0.5,0.4,1.1,14.4,2.5,-999.0,-999.0,-999.0,-999.0,-999
MC00,2000-11-04T00:00,0.0,121.6,2.7,154.7,3.1,-999.0,-999.0,-999.0,-999.0,-999
SY00,2000-11-04T00:00,0.0,67.4,4.5,109.4,6.0,-999.0,-999.0,-999.0,-999.0,-999
RN01,2000-11-12T00:00,32.0,236.1,0.5,289.2,1.5,-999.0,-999.0,-999.0,-999.0,-999
LS00,2000-11-12T00:00,2.3,166.4,0.4,201.6,1.9,-999.0,-999.0,-999.0,-999.0,-999
SM00,2000-11-12T00:00,0.5,206.4,12.6,231.3,14.5,-999.0,-999.0,-999.0,-999.0,650
CP01,2000-11-12T00:00,2.3,848.6,0.7,94.3,1.5,-999.0,-999.0,-999.0,-999.0,1428
AB00,2000-11-12T00:00,15.0,77.1,0.7,125.8,1.6,-999.0,-999.0,-999.0,-999.0,2067
FK00,2000-11-12T00:00,220.4,3243.6,70.0,390.6,69.6,-999.0,-999.0,-999.0,-999.0,-999
JV00,2000-11-12T00:00,0.0,0.0,0.8,176.3,2.0,-999.0,-999.0,-999.0,-999.0,-999
HO00,2000-11-12T00:00,0.0,0.0,0.1,22.1,0.8,-999.0,-999.0,-999.0,-999.0,-999
ON00,2000-11-12T00:00,0.0,14.7,0.1,9.5,1.4,-999.0,-999.0,-999.0,-999.0,-999
RN01,2000-11-18T00:00,16.7,295.8,1.8,297.6,1.1,-999.0,-999.0,-999.0,-999.0,1684
LS00,2000-11-18T00:00,2.1,186.1,1.7,214.0,1.5,-999.0,-999.0,-999.0,-999.0,1691
SM00,2000-11-18T00:00,0.1,6.6,3.8,20.1,4.2,-999.0,-999.0,-999.0,-999.0,639
CP01,2000-11-18T00:00,3.4,841.9,1.8,559.3,1.2,-999.0,-999.0,-999.0,-999.0,-999
AB00,2000-11-18T00:00,11.9,83.6,1.4,121.7,1.2,-999.0,-999.0,-999.0,-999.0,2041
RG01,2000-11-18T00:00,0.1,204.6,1.3,221.0,0.3,-999.0,-999.0,-999.0,-999.0,2643
FK00,2000-11-18T00:00,18.5,2849.2,169.8,3719.9,162.2,-999.0,-999.0,-999.0,-999.0,-999
JV00,2000-11-18T00:00,0.0,4.2,3.3,176.6,1.3,-999.0,-999.0,-999.0,-999.0,10353
EL00,2000-11-18T00:00,0.7,5.7,1.7,6.3,0.1,-999.0,-999.0,-999.0,-999.0,994
GV00,2000-11-18T00:00,0.0,5.2,1.5,14.0,0.6,-999.0,-999.0,-999.0,-999.0,133
HO00,2000-11-18T00:00,0.4,19.3,1.4,22.3,0.2,-999.0,-999.0,-999.0,-999.0,1024
ON00,2000-11-18T00:00,1.1,5.0,1.1,7.5,0.9,-999.0,-999.0,-999.0,-999.0,943
VR01,2000-11-18T00:00,0.0,120.2,14.1,144.3,10.2,-999.0,-999.0,-999.0,-999.0,1442
SC01,2000-11-18T00:00,0.0,77.6,1.6,116.0,1.0,-999.0,-999.0,-999.0,-999.0,2320
SM00,2000-11-29T00:00,0.0,1.6,4.6,13.8,3.9,-999.0,-999.0,-999.0,-999.0,-999
CP01,2000-11-29T00:00,0.1,873.4,21.8,879.6,0.5,-999.0,-999.0,-999.0,-999.0,-999
AB00,2000-11-29T00:00,1.4,76.5,1.6,104.3,1.8,-999.0,-999.0,-999.0,-999.0,-999
FK00,2000-11-29T00:00,33.4,2415.4,71.6,2649.7,57.9,-999.0,-999.0,-999.0,-999.0,-999
MC00,2000-11-29T00:00,0.0,149.9,2.0,151.6,1.9,-999.0,-999.0,-999.0,-999.0,-999
AT03,2000-11-29T00:00,0.0,76.8,4.4,159.3,3.3,-999.0,-999.0,-999.0,-999.0,-999
SY02,2000-11-29T00:00,0.0,130.1,5.1,100.5,2.4,-999.0,-999.0,-999.0,-999.0,-999
EL00,2000-12-03T00:00,0.0,0.0,2.3,8.7,1.1,-999.0,-999.0,-999.0,-999.0,-999
RG01,2000-12-03T00:00,0.1,252.9,3.2,267.0,1.1,-999.0,-999.0,-999.0,-999.0,-999
ON00,2000-12-03T00:00,0.9,0.0,2.1,3.6,0.6,-999.0,-999.0,-999.0,-999.0,-999
HO00,2000-12-03T00:00,0.0,0.1,2.8,18.1,0.8,-999.0,-999.0,-999.0,-999.0,-999
GV00,2000-12-03T00:00,0.0,13.2,2.6,12.7,1.6,-999.0,-999.0,-999.0,-999.0,-999
FK00,2000-12-12T00:00,133.2,3174.1,104.4,4066.5,87.9,-999.0,-999.0,-999.0,-999.0,-999
AT03,2000-12-12T00:00,0.0,22.6,7.6,65.4,4.3,-999.0,-999.0,-999.0,-999.0,-999
AB00,2000-12-12T00:00,0.0,168.7,1.7,212.5,1.0,-999.0,-999.0,-999.0,-999.0,-999
MC00,2000-12-12T00:00,1.5,19.3,2.7,134.3,1.7,-999.0,-999.0,-999.0,-999.0,-999
SY02,2000-12-12T00:00,0.6,68.7,3.0,96.5,-1.3,-999.0,-999.0,-999.0,-999.0,-999
SM00,2000-12-12T00:00,0.0,0.9,1.4,10.2,1.3,-999.0,-999.0,-999.0,-999.0,-999
CP01,2000-12-12T00:00,0.0,720.0,1.4,828.5,0.4,-999.0,-999.0,-999.0,-999.0,-999
FK00,2001-01-01T00:00,13.7,3485.7,54.5,3411.6,47.2,-999.0,-999.0,-999.0,-999.0,-999
AB00,2001-01-01T00:00,2.3,71.7,0.5,96.8,0.6,-999.0,-999.0,-999.0,-999.0,-999
MC00,2001-01-01T00:00,0.9,118.9,1.6,138.3,1.4,-999.0,-999.0,-999.0,-999.0,-999
AT03,2001-01-01T00:00,0.6,15.2,6.0,56.3,4.5,-999.0,-999.0,-999.0,-999.0,-999
CP01,2001-01-01T00:00,1.7,772.6,0.8,856.5,0.4,-999.0,-999.0,-999.0,-999.0,-999
SM00,2001-01-01T00:00,0.3,0.2,1.1,13.2,1.7,-999.0,-999.0,-999.0,-999.0,-999
ON00,2001-01-01T00:00,0.6,0.5,0.7,5.6,0.7,-999.0,-999.0,-999.0,-999.0,-999
JV00,2001-01-01T00:00,0.5,0.0,1.2,167.5,1.0,-999.0,-999.0,-999.0,-999.0,-999
HO00,2001-01-01T00:00,0.4,14.8,0.7,17.9,2.0,-999.0,-999.0,-999.0,-999.0,-999
LS00,2001-01-01T00:00,0.7,152.0,1.4,187.2,1.7,-999.0,-999.0,-999.0,-999.0,-999
RN01,2001-01-01T00:00,17.1,275.3,1.0,339.4,0.7,-999.0,-999.0,-999.0,-999.0,-999
GV00,2001-01-01T00:00,0.2,0.3,0.8,12.2,1.2,-999.0,-999.0,-999.0,-999.0,-999
RG01,2001-01-01T00:00,1.3,268.9,0.7,316.0,1.1,-999.0,-999.0,-999.0,-999.0,-999
